,id,Nodraft,Yesdraft,Player,Team,Conference,Games Played,Minutes Percentage,Offensive Rating,True Shooting Percentage,Assist Percentage,Turnover Percentage,Block Percentage,Free Throw Percentage,Points Over Replacement Per Adjusted Game,Adjusted Offensive Efficiency
0,0,1.0,0.0,Isaiah Felder,South Carolina St.,MEAC,11,17.6,61.1,35.18,8.1,30.4,0.0,0.5,-1.11,57.5491
1,1,0.984,0.016,Jalen Coleman-Lands,Kansas,B12,23,78.5,103.1,56.12,7.8,16.1,0.3,0.861,2.97703,111.426
2,2,0.98,0.02,K.J. Walton,Akron,MAC,20,63.0,108.6,58.88,8.9,17.2,0.7,0.793,3.09736,116.101
3,3,0.98,0.02,Jeriah Horne,Tulsa,Amer,32,61.3,116.0,58.61,7.5,13.0,0.3,0.906,3.27789,123.812
4,4,0.998,0.002,Eric Curry,Minnesota,B10,29,39.2,95.1,48.72,10.2,20.7,1.5,0.621,0.435561,93.2541
5,5,0.992,0.008,Jailyn Ingram,Georgia,SEC,18,59.2,98.4,47.59,14.7,15.6,1.8,0.727,1.3627,100.968
6,6,1.0,0.0,Quentin Jackson Jr.,Loyola Marymount,WCC,6,11.4,95.7,50.22,9.6,21.6,0.0,0.75,0.208556,88.8262
7,7,0.986,0.014,Charlie Moore,Miami FL,ACC,16,67.1,96.3,50.23,28.2,21.9,0.0,0.762,2.68362,109.564
8,8,0.99,0.01,Ben Shungu,Vermont,AE,15,73.0,114.7,59.99,23.0,18.6,1.1,0.864,2.80473,112.955
9,9,1.0,0.0,Keon Clergeot,Southeastern Louisiana,Slnd,24,72.7,101.5,57.34,15.7,22.9,0.3,0.802,2.09826,104.472
10,10,0.992,0.008,Bryce Aiken,Seton Hall,BE,14,18.4,99.5,47.16,20.9,13.7,0.0,0.889,1.25818,110.736
11,11,0.992,0.008,Peter Kiss,Bryant,NEC,21,82.9,114.0,61.44,18.1,19.3,0.8,0.87,3.20409,113.116
12,12,0.998,0.002,George Willborn III,UC Riverside,BW,21,34.6,102.7,54.25,4.4,14.3,0.4,0.607,0.758698,100.341
13,13,1.0,0.0,Kevin Marfo,Quinnipiac,MAAC,17,29.9,97.0,55.11,4.7,28.2,4.0,0.704,0.306744,92.2454
14,14,0.996,0.004,Jair Bolden,Butler,BE,25,81.4,96.7,48.44,6.1,10.1,0.7,0.732,1.59176,99.3478
15,15,0.992,0.008,Joey Brunk,Ohio St.,B10,32,48.7,101.1,51.51,6.7,15.7,2.0,0.446,1.35625,105.399
16,16,0.98,0.02,Davion Mintz,Kentucky,SEC,25,76.4,105.9,53.14,20.6,17.6,0.7,0.656,2.92188,112.797
17,17,0.99,0.01,Tyson Jolly,Iona,MAAC,8,28.5,95.0,52.95,5.7,20.0,2.4,0.6,1.48733,102.931
18,18,0.996,0.004,AJ Wilson,South Carolina,SEC,20,52.0,90.2,42.59,7.3,12.5,9.8,0.5,0.592716,93.0846
19,19,1.0,0.0,Xavier Green,Maryland,B10,22,84.5,80.8,42.18,12.3,24.8,1.0,0.733,-1.06674,76.1627
20,20,0.948,0.052,Tareq Coburn,St. John's,BE,21,75.0,120.9,62.04,5.1,11.6,2.6,0.82,3.89579,119.43
21,21,1.0,0.0,Tavian Dunn-Martin,Florida Gulf Coast,ASun,18,75.4,92.8,47.67,23.7,21.8,0.0,0.762,1.18264,96.5536
22,22,1.0,0.0,Jakolby Long,Bethune Cookman,SWAC,12,6.2,89.3,59.91,9.4,32.7,1.9,0.833,-0.0442726,82.8002
23,23,0.93,0.07,Taze Moore,Houston,Amer,21,49.8,105.7,56.25,25.8,22.8,3.4,0.823,2.47705,116.607
