,Nodraft,Yesdraft,Player,Team,Conference
0,1.0,0.0,Isaiah Felder,South Carolina St.,MEAC
1,0.984,0.016,Jalen Coleman-Lands,Kansas,B12
2,0.98,0.02,K.J. Walton,Akron,MAC
3,0.98,0.02,Jeriah Horne,Tulsa,Amer
4,0.998,0.002,Eric Curry,Minnesota,B10
5,0.992,0.008,Jailyn Ingram,Georgia,SEC
6,1.0,0.0,Quentin Jackson Jr.,Loyola Marymount,WCC
7,0.986,0.014,Charlie Moore,Miami FL,ACC
8,0.99,0.01,Ben Shungu,Vermont,AE
9,1.0,0.0,Keon Clergeot,Southeastern Louisiana,Slnd
10,0.992,0.008,Bryce Aiken,Seton Hall,BE
11,0.992,0.008,Peter Kiss,Bryant,NEC
12,0.998,0.002,George Willborn III,UC Riverside,BW
13,1.0,0.0,Kevin Marfo,Quinnipiac,MAAC
14,0.996,0.004,Jair Bolden,Butler,BE
15,0.992,0.008,Joey Brunk,Ohio St.,B10
16,0.98,0.02,Davion Mintz,Kentucky,SEC
17,0.99,0.01,Tyson Jolly,Iona,MAAC
18,0.996,0.004,AJ Wilson,South Carolina,SEC
19,1.0,0.0,Xavier Green,Maryland,B10
20,0.948,0.052,Tareq Coburn,St. John's,BE
21,1.0,0.0,Tavian Dunn-Martin,Florida Gulf Coast,ASun
22,1.0,0.0,Jakolby Long,Bethune Cookman,SWAC
23,0.93,0.07,Taze Moore,Houston,Amer
24,0.998,0.002,Justin Edler-Davis,Cal St. Bakersfield,BW
25,0.992,0.008,Greg Lee,Penn St.,B10
26,0.978,0.022,Brandon Johnson,DePaul,BE
27,1.0,0.0,Nick Robinson,Western Carolina,SC
28,0.836,0.164,Grant Golden,Richmond,A10
29,0.986,0.014,De'Monte Buckingham,UNC Greensboro,SC
30,0.994,0.006,Nick Sherod,Richmond,A10
31,1.0,0.0,Chance Garvin,Idaho,BSky
32,0.996,0.004,Perry Francois,Charlotte,CUSA
33,1.0,0.0,Vittorio Reynoso-Avila,Santa Clara,WCC
34,1.0,0.0,Randy Miller Jr.,North Carolina Central,MEAC
35,0.998,0.002,Ryan Gomes,Houston Baptist,Slnd
36,0.998,0.002,Nolan Taylor,Southeast Missouri St.,OVC
37,0.998,0.002,Scott Spencer,Tulane,Amer
38,0.988,0.012,Algevon Eichelberger,Cleveland St.,Horz
39,1.0,0.0,Eron Gordon,Valparaiso,MVC
40,0.994,0.006,Mitch Lightfoot,Kansas,B12
41,0.998,0.002,Nate Johnson,Xavier,BE
42,1.0,0.0,Drew Buggs,Winthrop,BSth
43,1.0,0.0,Devin Kirby,Montana St.,BSky
44,1.0,0.0,Keith Fisher III,Pepperdine,WCC
45,0.996,0.004,Ben Coupet Jr.,Southern Illinois,MVC
46,1.0,0.0,Kenny Cooper,Tennessee St.,OVC
47,0.99,0.01,James Scott,Eastern Michigan,MAC
48,1.0,0.0,Nick Hopkins,Siena,MAAC
49,1.0,0.0,DeAndre Dishman,Middle Tennessee,CUSA
50,0.994,0.006,Osinachi Smart,College of Charleston,CAA
51,1.0,0.0,Corey Allen,Georgia St.,SB
52,0.998,0.002,Justin Hopkins,Texas Southern,SWAC
53,0.996,0.004,Damien Sears,Southern,SWAC
54,0.994,0.006,Patrick Tape,San Francisco,WCC
55,0.994,0.006,Jordan Bell,Pacific,WCC
56,0.926,0.074,Jalen Dupree,Tennessee St.,OVC
57,0.988,0.012,Abdul Ado,Cincinnati,Amer
58,1.0,0.0,Jaylen Fornes,UNC Wilmington,CAA
59,0.994,0.006,Stafford Trueheart,Hofstra,CAA
60,1.0,0.0,Dejuan Clayton,Hartford,AE
61,0.994,0.006,Trevor Anderson,Valparaiso,MVC
62,1.0,0.0,Rodney Miller Jr.,Miami FL,ACC
63,0.924,0.076,Brevin Galloway,Boston College,ACC
64,0.986,0.014,Chevez Goodwin,USC,P12
65,1.0,0.0,Mike Henn,Denver,Sum
66,0.998,0.002,Ty Graves,North Carolina Central,MEAC
67,0.996,0.004,Jeremy Sheppard,Rhode Island,A10
68,1.0,0.0,Shawn Williams,Arkansas Pine Bluff,SWAC
69,0.94,0.06,Ty Groce,Butler,BE
70,1.0,0.0,Chris Lester,New Hampshire,AE
71,1.0,0.0,Dimencio Vaughn,Rider,MAAC
72,1.0,0.0,Ahsante Shivers,Southern,SWAC
73,0.998,0.002,Shandon Goldman,Tennessee Tech,OVC
74,0.998,0.002,Andre Jones,Louisiana Monroe,SB
75,0.998,0.002,Josh Parrish,San Diego,WCC
76,1.0,0.0,Tyler Stewart,St. Francis PA,NEC
77,0.998,0.002,Nysier Brooks,Mississippi,SEC
78,0.998,0.002,C.J. Keyser,Old Dominion,CUSA
79,0.974,0.026,Jordan Jones,Marist,MAAC
80,1.0,0.0,Precious Ayah,Miami OH,MAC
