,player_name,team,conf,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ht,porpag,adjoe,pfr,year,type,Rec Rank,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade,dunksmiss+dunksmade,dunksmade/(dunksmade+dunksmiss),draft_status,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,nba team,ROUND NUMBER,ROUND PICK,OVERALL PICK
0,Jordan Hill,Arizona,P10,34,86.3,108.9,28.0,53.7,56.04,15.4,22.2,9.6,17.5,117,179,0.654,252,469,0.537,0,0,0.0,5.6,1.5,38.2,Jr,6-10,5.25931,126.906,3.4,2009,all,83.0,0.51547548,,,,,,,,,,Drafted,101.241,94.4767,3.92113,251.586,5.5629,3.55648,2.00643,4.59277,35.6765,4.56177,0.0309945,4.2059,6.8235,11.0294,1.4706,0.8824,1.7059,18.2647,New York Knicks,1,8,8
1,Chase Budinger,Arizona,P10,35,93.7,117.5,23.9,55.4,59.42,4.9,14.8,19.0,16.6,125,156,0.801,152,288,0.528,67,168,0.399,1.4,2.3,34.2,Jr,6-07,6.01009,130.461,2.0,2009,all,99.0,1.3882072,,,,,,,,,,Drafted,105.009,98.1723,3.65529,237.463,7.82959,6.90449,0.925103,8.48344,37.6286,7.4571,1.02634,1.4,4.8,6.2,3.3714,1.4286,0.4571,18.0,Detroit Pistons,2,14,44
2,Earl Clark,Louisville,BE,37,85.4,100.3,24.6,49.2,51.67,9.1,18.7,18.2,22.0,90,139,0.647,171,347,0.493,31,95,0.326,4.1,1.7,31.4,Jr,6-09,3.19342,111.212,2.2,2009,all,96.0,1.0,,,,,,,,,,Drafted,88.6298,82.7262,5.16034,265.066,6.6726,1.81849,4.8541,5.72521,34.2703,2.77433,2.95088,2.7568,5.9459,8.7027,3.2162,1.027,1.3784,14.1892,Phoenix Suns,1,14,14
3,Dante Cunningham,Villanova,BE,38,78.6,109.0,24.7,52.5,55.68,9.5,17.0,8.8,15.8,124,178,0.697,244,463,0.527,0,2,0.0,4.8,2.2,38.3,Sr,6-09,3.96602,120.61,3.4,2009,all,59.8,0.57314978,,,,,,,,,,Drafted,93.7175,87.6626,4.21283,260.896,6.34177,2.23205,4.10972,6.03803,31.5526,3.5281,2.50993,2.6053,4.8684,7.4737,1.2368,1.2368,1.2368,16.1053,Portland Trail Blazers,2,3,33
4,Derrick Brown,Xavier,A10,34,71.7,118.5,23.1,54.8,58.7,10.2,13.9,14.8,15.5,99,132,0.75,127,243,0.523,36,87,0.414,2.9,1.4,40.0,Jr,6-08,4.42573,127.488,3.3,2009,all,,1.06776931,,,,,,,,,,Drafted,93.4717,90.0501,3.70848,187.036,8.61757,5.49839,3.11919,8.65609,29.6176,6.08346,2.57263,2.3824,3.7647,6.1471,1.8529,0.7059,0.8235,13.5588,Charlotte Bobcats,2,10,40
5,Tyler Hansbrough,North Carolina,ACC,34,69.3,124.7,26.5,52.4,61.26,10.7,16.6,5.9,12.2,249,296,0.841,214,411,0.521,9,23,0.391,1.1,2.2,68.2,Sr,6-09,6.15833,143.123,3.0,2009,all,98.4,0.53969452,,,,,,,,,,Drafted,94.7501,88.5631,3.9451,223.742,7.1845,6.45565,0.728855,8.81603,30.2647,7.44251,1.37352,3.0294,5.0882,8.1176,1.0,1.2353,0.3529,20.7059,Indiana Pacers,1,13,13
6,Danny Green,North Carolina,ACC,37,68.6,120.8,19.5,56.3,58.65,6.8,10.3,16.3,16.4,50,58,0.862,98,193,0.508,75,181,0.414,4.4,3.4,15.5,Sr,6-05,3.99345,126.237,3.3,2009,all,94.8,1.62899097,,,,,,,,,,Drafted,93.2879,87.7191,3.66784,234.1,13.0388,7.81947,5.21935,11.7557,27.5135,7.42097,4.33469,1.7568,2.8649,4.6216,2.7297,1.7838,1.3243,12.7297,Cleveland Cavaliers,2,16,46
7,Chinemelu Elonu,Texas A&M,B12,33,59.1,112.0,20.4,66.3,65.87,13.8,21.5,2.9,22.9,69,113,0.611,126,190,0.663,0,0,0.0,6.7,0.8,59.5,Jr,6-10,2.70618,117.26,4.6,2009,all,,0.16391669,,,,,,,,,,Drafted,96.6677,91.6972,2.83551,165.533,5.16497,2.36602,2.79895,5.17411,23.7273,3.16663,2.00748,2.7879,4.4242,7.2121,0.303,0.303,1.5758,9.7273,Los Angeles Lakers,2,29,59
8,DeJuan Blair,Pittsburgh,BE,33,64.5,125.8,26.2,58.4,59.33,23.7,27.6,9.3,11.0,97,160,0.606,209,358,0.584,0,0,0.0,3.6,3.5,44.7,So,6-07,5.63645,143.628,4.1,2009,all,93.8,0.93182334,,,,,,,,,,Drafted,86.5716,81.3743,4.26263,236.863,14.0651,9.50593,4.55918,12.3283,27.3636,9.89913,2.42915,5.5758,6.7273,12.303,1.2424,1.6061,0.9091,15.6061,San Antonio Spurs,2,7,37
9,DaJuan Summers,Georgetown,BE,31,72.4,104.5,24.4,56.4,59.81,5.3,11.5,9.7,22.4,97,136,0.713,85,154,0.552,52,135,0.385,2.5,2.4,47.1,Jr,6-08,3.26795,116.795,3.6,2009,all,96.4,0.48149567,,,,,,,,,,Drafted,98.0931,91.8187,3.46084,158.495,4.14272,2.37595,1.76678,4.97034,29.4194,3.54422,1.42612,1.1613,2.9677,4.129,1.2581,1.129,0.6774,13.6452,Detroit Pistons,2,5,35
